nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion,codigo_aeropuerto
Abilene Regional,Abilene,TX,32.45095,-99.735678,"202 Cedar St (North 2nd), Abilene, TX 79601",ABR
Akron-Canton Regional,Akron,OH,41.080564,-81.519677,"182 S Main St, Akron, OH 44308",AKR
Hartsfield-Jackson Atlanta International,Atlanta,GA,33.640846,-84.432594,"6000 N Terminal Pkwy (at Airport Loop Rd), Atlanta, GA 30320",ATL
Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,37.974664,-100.871909,"1011 N Main St, Garden City, KS 67846",JMW
Jacksonville International,Jacksonville,FL,30.328992,-81.657959,"303 N Laura St (Duval St.), Jacksonville, FL 32202",JAX
Albert J Ellis,Jacksonville/Camp Lejeune,NC,35.83181,-80.275492,"221 W US Highway 64, Lexington, NC 27295",AJE
Jamestown Regional,Jamestown,ND,46.905755,-98.708982,"310 1st Ave S, Jamestown, ND 58401",JMR
John Murtha Johnstown-Cambria County,Johnstown,PA,40.319491,-78.833163,"479 Airport Rd, Johnstown, PA 15904",JMJ
Joplin Regional,Joplin,MO,37.086554,-94.514722,"506 S Joplin Ave, Joplin, MO 64801",JPL
Juneau International,Juneau,AK,58.296738,-134.400306,"489 S Franklin St, Juneau, AK 99801",JNU
Kahului Airport,Kahului,HI,20.88783,-156.469582,"130 W Kamehameha Ave, Kahului, HI 96732",OGG
Kalamazoo/Battle Creek International,Kalamazoo,MI,42.293318,-85.58375,"230 N Rose St (btw Eleanor St. & Water St.), Kalamazoo, MI 49007",AZO
Glacier Park International,Kalispell,MT,48.192328,-114.307831,"705 2nd Ave E, Kalispell, MT 59901",FCA
Kansas City International,Kansas City,MO,39.098993,-94.582887,"1261 Main St (at E 13th St), Kansas City, MO 64105",MCI
Kearney Regional,Kearney,NE,40.696041,-99.083512,"2020 1st Ave (21st), Kearney, NE 68847",EAR
Ketchikan International,Ketchikan,AK,55.341053,-131.64631,"131 Front St (mission St. and front), Ketchikan, AK 99901",KTN
Key West International,Key West,FL,24.547234,-81.786024,"1100 Atlantic Blvd, Key West, FL 33040",EYW
Atlantic City International,Atlantic City,NJ,39.360282985488496,-74.4202709197998,"1000 Boardwalk (at Maryland Ave), Atlantic City, NJ 08401",ACY
Robert Gray AAF,Killeen,TX,31.125859,-97.724992,"1015 N 8th St, Killeen, TX 76541",GRK
Augusta Regional at Bush Field,Augusta,GA,33.477491,-81.970478,"1033 Broad St, Augusta, GA 30901",AGS
King Salmon Airport,King Salmon,AK,58.6768,-156.649,"1 King Salmon Airport Rd, King Salmon, AK 99613",AKN
McGhee Tyson,Knoxville,TN,35.962261,-83.919578,"500 W Church Ave, Knoxville, TN 37902",TYS
Kodiak Airport,Kodiak,AK,57.790575,-152.407234,"117 Lower Mill Bay Rd, Kodiak, AK 99615",ADQ
Ellison Onizuka Kona International at Keahole,Kona,HI,20.114193,-98.74707,"Calzada Cuesco 100 (Blvd. Felipe Ángeles), 42080 Pachuca, Hidalgo",KOA
Ralph Wien Memorial,Kotzebue,AK,66.8847,-162.599,"1 Airport Way, Kotzebue, AK 99752",OTZ
La Crosse Regional,La Crosse,WI,43.817134,-91.240095,"1128 La Crosse St, La Crosse, WI 54601",LSE
Lafayette Regional Paul Fournet Field,Lafayette,LA,37.970207,-100.873154,"615 N Main St, Garden City, KS 67846",LFT
Lake Charles Regional,Lake Charles,LA,30.23616,-93.23323,"N Lakeshore Dr, Lake Charles, LA 70601",LCH
Capital Region International,Lansing,MI,42.741164,-84.566921,"1026 W Saginaw St, Lansing, MI 48915",LAN
Laramie Regional,Laramie,WY,41.309242,-105.587934,"710 E Garfield St, Laramie, WY 82070",LAR
Laredo International,Laredo,TX,37.964774,-100.855758,"302 Fleming St, Garden City, KS 67846",LRD
Harry Reid International,Las Vegas,NV,36.136279,-115.151316,"3000 Paradise Rd, Las Vegas, NV 89109",LAS
Arnold Palmer Regional,Latrobe,PA,40.285066,-79.384819,"RTE 30 E (at Colony Ln.), Latrobe, PA 15650",LBE
Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,37.970207,-100.873154,"615 N Main St, Garden City, KS 67846",LAW
Greenbrier Valley,Lewisburg,WV,37.801457,-80.445328,"113 E Washington St (at S Jefferson St), Lewisburg, WV 24901",LWB
Lewiston Nez Perce County,Lewiston,ID,46.416459,-117.017108,"1230 Idaho St, Lewiston, ID 83501",LWS
Austin - Bergstrom International,Austin,TX,30.245094,-97.723244,"2200 S Lakeshore Blvd, Austin, TX 78741",AUS
Blue Grass,Lexington,KY,37.990974,-84.480405,"3357 Sutherland Dr, Lexington, KY 40517",LEX
Liberal Mid-America Regional,Liberal,KS,37.030786,-100.914871,"508 Hotel Dr, Liberal, KS 67901",LBL
Lihue Airport,Lihue,HI,21.977769,-159.374941,"4602 Hoomana Rd (Hwy 50), Lihue, HI 96766",LIH
Lincoln Airport,Lincoln,NE,40.800375,-96.679663,"1222 S 27th St, Lincoln, NE 68502",LNK
